job_code,name
1604,프리미어
1487,로고디자인
1542,만화/웹툰
1605,플래시
1488,모바일디자인
1543,명함
1606,Blender
1489,무대디자인
1544,모델링
1607,CAD
1490,문구디자인
1545,모션그래픽
1608,Cinema4D
1491,배너디자인
1546,보정/리터칭
1609,Figma
1492,북디자인
1547,브로슈어
1610,FLEX
1493,브랜드디자인
1548,삽화
1611,HTML
1494,산업디자인
1549,상세페이지
1612,Keyshot
1495,섬유디자인
1550,색보정
1613,Maya
1496,시각디자인
1551,샘플링
1614,PhotoShop
1497,실내디자인
1552,속옷
1615,QuarkXpress
1498,애니메이터
1553,스포츠의류
1616,Sketch
1499,앱디자인
1554,신발
1617,Substance
1500,영상디자인
1555,썸네일
1618,TexPro
1501,완구디자인
1556,아동복
1619,Unity
1502,웹디자인
1557,아트워크
1620,Unreal
1503,의상디자인
1558,어셋
1621,V-Ray
1504,일러스트레이터
1559,여성의류
1622,XD
1505,자동차디자인
1560,옥외광고
1623,Zeplin
1506,잡화디자인
1561,우븐
1507,전시디자인
1562,원화
1508,정보디자인
1563,이모티콘
1564,인포그래픽
1510,조명디자인
1565,자막
1511,주얼리디자인
1566,작화
1512,캐릭터디자인
1567,잡지
1513,컨셉디자인
1568,제안서
1514,컬러리스트
1569,조형물
1515,콘텐츠디자인
1570,주방용품
1516,패브릭디자인
1571,채색
1517,패키지디자인
1572,카드뉴스
1518,패턴디자인
1573,카탈로그
1519,편집디자인
1574,캘리그라피
1520,폰트디자인
1575,컨셉아트
1521,표지디자인
1576,타이포그래피
1522,프로모션디자인
1577,템플릿
1523,환경디자인
1578,팜플렛
1524,AD(아트디렉터)
1579,페인팅
1525,VMD
1580,포스터
1526,BI디자인
1581,프랍
1527,BX디자인
1582,피규어
1528,CI디자인
1583,합성
1529,UI/UX디자인
1584,현수막
1585,홈패션/홈데코
1586,홍보물
1587,CG
1588,DTP
1589,GUI
1590,POP
1591,SIGN
1592,VFX
2203,영업
2208,영업기획
2241,보안솔루션영업
689,관세사
754,B2B
690,관세사무원
755,B2C
691,국제무역사
756,가맹점관리
692,기술영업
757,가맹점영업
693,무역경리
758,거래처관리
694,무역사무원
759,거래처납품
695,무역중개인
760,거래처영업
696,무역MR
761,고객관리
697,보세사
762,공공영업
698,샵마스터
763,관세환급
699,영업관리
764,기업영업
700,영업지원
765,렌탈영업
701,영업직
766,마트영업
702,영업MD
767,매장관리
703,원산지관리사
768,매체영업
704,자동차딜러
769,매출관리
705,캐셔
770,무역거래
706,판매직
771,무역영어
707,포워더
772,바이어발굴/관리
708,가구판매
773,백화점영업
709,가전판매
774,벤더관리
710,건강식품판매
775,부품수출
711,건설영업
776,쇼핑몰관리
712,광고영업
777,수/발주
713,귀금속판매
778,수출입
714,기계판매
779,실적관리
715,네트워크영업
780,아울렛영업
716,방문판매
781,여행사영업
717,부동산영업
782,온라인영업
718,상조영업
783,유통영업
719,솔루션기술영업
784,장기렌트영업
720,시스템영업
785,점포개발
721,식품/음료영업
786,정산관리
722,식품/음료판매
787,주문관리
723,영업마케팅
788,진열관리
724,영업전략
789,통관
725,영업판촉
790,학원영업
726,온라인판매
791,해외영업관리
727,의료기기영업
792,해외영업지원
728,의류무역
793,핸드폰영업
729,의류판매
794,홈쇼핑영업
730,자동차영업
795,FTA
731,자재판매
796,H/W
732,잡화판매
797,LC(신용장)
733,장비영업
798,S/W
734,정육판매
735,제약영업
736,주류영업
737,주류판매
738,축산물판매
739,컴퓨터판매
740,타이어판매
741,통신기기판매
742,티켓판매
743,항공무역
744,해상무역
745,해외시장개척
746,해외영업
747,핸드폰판매
748,호텔영업
749,화장품영업
750,화장품판매
751,IT영업
752,SI영업
753,증권영업
1980,게시판관리
1972,상담원
1981,고객관리
1973,아웃바운드
1974,이미지컨설턴트
1982,교육상담
1975,인바운드
1983,교환/반품
1976,텔레마케터
1984,기술상담
1977,CS
1985,단순안내
1978,CX매니저
1986,대출상담
1979,섭외TM
1987,메일상담
1988,민원상담
